strategy,split,queries,recall@1,hit@1,recall@5,hit@5,recall@10,hit@10,mrr@10,ndcg@10,mean_rerank_latency_ms,p50_rerank_latency_ms,p95_rerank_latency_ms,wall_ms_per_query_including_model_load
hybrid,answerable,467,0.720199857244825,0.7730192719486081,0.8997144896502499,0.9379014989293362,0.923982869379015,0.961456102783726,0.84638778423575,0.8505838059488264,,,,4694.227626605995
bm25,answerable,467,0.7162740899357601,0.7708779443254818,0.8882940756602428,0.9271948608137045,0.909707351891506,0.9464668094218416,0.8404965840726012,0.8417869126325205,,,,4759.667651070664
dense,answerable,467,0.7066381156316917,0.7580299785867237,0.8790149892933619,0.9143468950749465,0.9068522483940042,0.9443254817987152,0.8297771999592128,0.8341751556186034,,,,4690.606014528908
